well,curve,available,non_missing_count,missing_pct
15_9-13,BS,False,0,100.0
15_9-13,CALI,True,18345,14.439625017489854
15_9-13,DCAL,False,0,100.0
15_9-13,DEPT,True,21441,0.0
15_9-13,DEPTH_MD,True,20956,2.2620213609439888
15_9-13,DRHO,True,18345,14.439625017489854
15_9-13,DTC,True,21282,0.741569889464111
15_9-13,DTS,False,0,100.0
15_9-13,GR,True,20900,2.523203208805558
15_9-13,MUDWEIGHT,True,17520,18.287393311879107
15_9-13,NPHI,True,14105,34.214822069866145
15_9-13,PEF,True,16446,23.296488036938577
15_9-13,RDEP,True,20956,2.2620213609439888
15_9-13,RHOB,True,18345,14.439625017489854
15_9-13,RMED,True,20957,2.257357399375026
15_9-13,RMIC,False,0,100.0
15_9-13,ROP,True,20297,5.335572034886438
15_9-13,ROPA,False,0,100.0
15_9-13,RSHA,True,1623,92.43039037358332
15_9-13,RXO,True,1627,92.4117345273075
15_9-13,SGR,False,0,100.0
15_9-13,SP,True,20956,2.2620213609439888
15_9-13,X_LOC,True,20956,2.2620213609439888
15_9-13,Y_LOC,True,20956,2.2620213609439888
15_9-13,Z_LOC,True,20956,2.2620213609439888
15_9-14,BS,False,0,100.0
15_9-14,CALI,True,20363,10.981420765027327
15_9-14,DCAL,False,0,100.0
15_9-14,DEPT,True,22875,0.0
15_9-14,DEPTH_MD,True,22859,0.06994535519125877
15_9-14,DRHO,True,20364,10.97704918032787
15_9-14,DTC,True,22168,3.0907103825136617
15_9-14,DTS,False,0,100.0
15_9-14,GR,True,22802,0.31912568306010636
15_9-14,MUDWEIGHT,True,22163,3.112568306010932
15_9-14,NPHI,True,20363,10.981420765027327
15_9-14,PEF,True,16704,26.97704918032787
15_9-14,RDEP,True,22859,0.06994535519125877
15_9-14,RHOB,True,20363,10.981420765027327
15_9-14,RMED,True,22832,0.18797814207650587
15_9-14,RMIC,False,0,100.0
15_9-14,ROP,True,22153,3.156284153005462
15_9-14,ROPA,False,0,100.0
15_9-14,RSHA,True,4059,82.25573770491803
15_9-14,RXO,True,4069,82.2120218579235
15_9-14,SGR,False,0,100.0
15_9-14,SP,True,22854,0.09180327868852922
15_9-14,X_LOC,True,22859,0.06994535519125877
15_9-14,Y_LOC,True,22859,0.06994535519125877
15_9-14,Z_LOC,True,22859,0.06994535519125877
15_9-15,BS,True,20342,2.920683401737134
15_9-15,CALI,True,17780,15.147465877636723
15_9-15,DCAL,True,17802,15.042473990646176
15_9-15,DEPT,True,20954,0.0
15_9-15,DEPTH_MD,True,19930,4.886895103560185
15_9-15,DRHO,True,17780,15.147465877636723
15_9-15,DTC,True,20393,2.6772931182590387
15_9-15,DTS,False,0,100.0
15_9-15,GR,True,20349,2.8872768922401426
15_9-15,MUDWEIGHT,True,18750,10.51827813305336
15_9-15,NPHI,True,13497,35.58747733129712
15_9-15,PEF,True,17855,14.789538990168937
15_9-15,RDEP,True,19930,4.886895103560185
15_9-15,RHOB,True,17672,15.662880595590345
15_9-15,RMED,True,19930,4.886895103560185
15_9-15,RMIC,False,0,100.0
15_9-15,ROP,True,19843,5.302090293022809
15_9-15,ROPA,False,0,100.0
15_9-15,RSHA,True,19930,4.886895103560185
15_9-15,RXO,True,20954,0.0
15_9-15,SGR,False,0,100.0
15_9-15,SP,True,20954,0.0
15_9-15,X_LOC,True,19930,4.886895103560185
15_9-15,Y_LOC,True,19930,4.886895103560185
15_9-15,Z_LOC,True,19930,4.886895103560185
15_9-17,BS,False,0,100.0
15_9-17,CALI,True,17416,12.389959253483573
15_9-17,DCAL,False,0,100.0
15_9-17,DEPT,True,19879,0.0
15_9-17,DEPTH_MD,True,19706,0.8702651038784648
15_9-17,DRHO,True,16766,15.659741435685904
15_9-17,DTC,True,19353,2.6460083505206455
15_9-17,DTS,False,0,100.0
15_9-17,GR,True,19816,0.31691734996730503
15_9-17,MUDWEIGHT,True,19132,3.757734292469439
15_9-17,NPHI,True,13864,30.258061270687662
15_9-17,PEF,True,16710,15.941445746767947
15_9-17,RDEP,True,19706,0.8702651038784648
15_9-17,RHOB,True,16764,15.669802303938829
15_9-17,RMED,True,19688,0.9608129181548408
15_9-17,RMIC,False,0,100.0
15_9-17,ROP,True,19342,2.7013431259117704
15_9-17,ROPA,False,0,100.0
15_9-17,RSHA,True,13107,34.066099904421755
15_9-17,RXO,True,13223,33.482569545751794
15_9-17,SGR,True,17418,12.379898385230648
15_9-17,SP,True,19705,0.8752955380049277
15_9-17,X_LOC,True,19706,0.8702651038784648
15_9-17,Y_LOC,True,19706,0.8702651038784648
15_9-17,Z_LOC,True,19706,0.8702651038784648
15_9-23,BS,True,20077,2.0347418756709312
15_9-23,CALI,True,11150,45.59383234117303
15_9-23,DCAL,True,11150,45.59383234117303
15_9-23,DEPT,True,20494,0.0
15_9-23,DEPTH_MD,True,20055,2.1420903679125636
15_9-23,DRHO,True,11149,45.59871181809309
15_9-23,DTC,True,11239,45.15955889528642
15_9-23,DTS,True,10719,47.69688689372499
15_9-23,GR,True,20014,2.3421489216356006
15_9-23,MUDWEIGHT,False,0,100.0
15_9-23,NPHI,True,11503,43.87137698838684
15_9-23,PEF,True,10922,46.70635307894994
15_9-23,RDEP,True,20055,2.1420903679125636
15_9-23,RHOB,True,11094,45.867083048697175
15_9-23,RMED,True,19995,2.4348589831170053
15_9-23,RMIC,False,0,100.0
15_9-23,ROP,True,20012,2.351907875475745
15_9-23,ROPA,True,20455,0.1902995998828927
15_9-23,RSHA,False,0,100.0
15_9-23,RXO,False,0,100.0
15_9-23,SGR,False,0,100.0
15_9-23,SP,False,0,100.0
15_9-23,X_LOC,True,20055,2.1420903679125636
15_9-23,Y_LOC,True,20055,2.1420903679125636
15_9-23,Z_LOC,True,20055,2.1420903679125636
16_1-2,BS,True,1807,90.25718445031542
16_1-2,CALI,True,1834,90.1116083463633
16_1-2,DCAL,False,0,100.0
16_1-2,DEPT,True,18547,0.0
