column,missing_count,non_missing_count,missing_pct
SGR,2265476,72163,96.91299640363631
RMIC,2099262,238377,89.80265986322097
DCAL,1953401,384238,83.56298812605368
RXO,1951432,386207,83.47875784071022
DTS,1948818,388821,83.36693561324053
MUDWEIGHT,1897939,439700,81.19042332883734
ROPA,1598886,738753,68.39747283477047
RSHA,1469179,868460,62.848840218699294
PEF,1413499,924140,60.46694977282634
NPHI,1304036,1033603,55.784319135674934
ROP,1116713,1220926,47.77097746914729
SP,1108869,1228770,47.43542523032855
DRHO,1012729,1324910,43.322728616351796
RHOB,941122,1396517,40.25950970188297
FORCE_2020_LITHOFACIES_LITHOLOGY,906256,1431383,38.76800481169248
FORCE_2020_LITHOFACIES_CONFIDENCE,893586,1444053,38.22600495628281
BS,880760,1456879,37.67733170091704
CALI,875726,1461913,37.461986217717964
DTC,543931,1793708,23.268391740555323
RMED,244765,2092874,10.470607309340748
RDEP,118446,2219193,5.066907251290726
DEPTH_MD,115746,2221893,4.951406098204214
X_LOC,115746,2221893,4.951406098204214
Y_LOC,115746,2221893,4.951406098204214
Z_LOC,115746,2221893,4.951406098204214
GR,39955,2297684,1.709203174656138
DEPT,0,2337639,0.0
SOURCE_FILE,0,2337639,0.0
WELL,0,2337639,0.0
