WELL,rows,top_depth,bottom_depth,depth_samples,labeled_rows,unlabeled_rows,depth_range
15_9-13,21441,98.720001221,3283.8798828,20956,18270,3171,3185.159881579
15_9-14,22875,98.804000854,3573.2199707,22859,20336,2539,3474.415969846
15_9-15,20954,171.83200073,3201.0400391,19930,17717,3237,3029.20803837
15_9-17,19879,127.9980011,3123.157959,19706,17351,2528,2995.1599579000003
15_9-23,20494,173.38400269,3221.592041,20055,11063,9431,3048.20803831
16_1-2,18547,324.08401489,2923.8920898,17105,1734,16813,2599.80807491
16_1-6 A,13513,205.30773926,2190.2756348,13060,3623,9890,1984.9678955399997
16_10-1,20147,196.8237915,3156.2636719,19471,17675,2472,2959.4398804
16_10-2,20131,162.74520874,3149.8491211,19653,2437,17694,2987.10391236
16_10-3,17995,209.45359802,2847.4135742,17356,15956,2039,2637.95997618
16_10-5,18808,181.54039001,3025.6123047,18712,2765,16043,2844.07191469
16_11-1 ST3,19470,451.41720581,1832.4892578,9087,14939,4531,1381.0720519899999
16_2-11 A,14672,138.88319397,2360.5151367,14617,10708,3964,2221.63194273
16_2-16,13637,142.39039612,2212.6303711,13621,10025,3612,2070.23997498
16_2-6,13094,141.47479248,2129.3308105,13079,9138,3956,1987.8560180200002
16_2-7,15556,138.67599487,2495.5878906,15507,11683,3873,2356.9118957299997
16_4-1,18424,207.15361023,2908.8015137,17775,14120,4304,2701.64790347
16_5-3,12261,193.12600708,1988.2459717,11811,3021,9240,1795.11996462
16_7-4,17412,170.3480072,2778.9719238,17163,10010,7402,2608.6239165999996
16_7-5,18488,99.455986023,2908.263916,18480,15590,2898,2808.8079299769997
16_7-6,17304,271.89440918,2727.9104004,16159,10222,7082,2456.01599122
16_8-1,14586,505.85519409,2312.6791992,11888,6685,7901,1806.82400511
17_11-1,20533,160.4650116,3244.8491211,20293,20099,434,3084.3841095000002
17_4-1,25420,433.30279541,3999.8308105,23465,17271,8149,3566.5280150900003
25_10-10,15346,234.15040588,2500.3183594,14910,9321,6025,2266.16795352
25_10-9,19639,140.34480286,2980.3127441,18685,10788,8851,2839.96794124
25_11-15,12402,152.58369446,2017.1677246,12268,2284,10118,1864.5840301399999
25_11-19 S,13783,225.93170166,2239.7797852,13250,6975,6808,2013.8480835399998
25_11-24,13052,225.0592041,2112.8991699,12421,4195,8857,1887.8399657999998
25_11-5,13337,389.65670776,2172.4645996,11730,5060,8277,1782.80789184
25_2-13 T4,24492,201.41600037,3900.9440918,24340,21062,3430,3699.52809143
25_2-14,22963,1198.7858887,3622.5778809,15947,15840,7123,2423.7919922
25_2-7,26059,133.61000061,4094.2739258,26058,25131,928,3960.66392519
25_3-1,24963,180.08000183,3930.0717773,24672,21186,3777,3749.99177547
25_4-5,27691,207.15080261,4351.2788086,27265,23005,4686,4144.12800599
25_5-1,21629,218.11199951,3431.8479004,21144,18473,3156,3213.7359008900003
25_5-3,18058,197.29118347,2893.6191406,17740,11324,6734,2696.32795713
25_5-4,20021,1200.7923584,3179.5283203,13019,13003,7018,1978.7359619
25_6-1,18033,256.88800049,2872.0480957,17206,6209,11824,2615.16009521
25_6-2,14836,193.94400024,2394.9040527,14481,2925,11911,2200.96005246
25_6-3,15388,191.60372925,2473.4277344,15013,11994,3394,2281.82400515
25_7-2,31686,133.85600281,4859.0800781,31088,23879,7807,4725.22407529
25_8-5 S,20537,275.99038696,3390.3183594,20490,14599,5938,3114.32797244
25_8-7,9268,1057.2871094,2379.6870117,8701,8999,269,1322.3999023
25_9-1,16132,136.08599854,2529.0219727,15744,16111,21,2392.93597416
26_4-1,22742,233.24819946,3684.8642578,22709,19577,3165,3451.61605834
29_3-1,28514,203.13800049,4466.5859375,28050,24213,4301,4263.44793701
29_6-1,30856,147.60899353,4837.112793,30853,24468,6388,4689.503799470001
30_3-3,21287,201.06199646,3436.2299805,21285,21164,123,3235.1679840399997
30_3-5 S,28123,3891.7775879,4707.7133789,5369,4382,23741,815.9357909999999
30_6-5,22910,176.66639709,3555.3225098,22229,21636,1274,3378.65611271
31_2-1,16035,406.82818604,2437.0922852,13358,8274,7761,2030.26409916
31_2-10,11934,342.67999268,1837.9040527,9838,9033,2901,1495.22406002
31_2-19 S,24730,367.94241333,4126.75,24730,16705,8025,3758.80758667
31_2-21 S,18731,379.91241455,3201.9443359,18567,7840,10891,2822.03192135
31_2-7,8647,353.4569397,1664.9129639,8629,8056,591,1311.4560242
31_2-8,19923,360.98098755,3388.9729004,19922,19026,897,3027.99191285
31_2-9,9402,349.45709229,1774.6091309,9377,8753,649,1425.15203861
31_3-1,13361,420.10900879,2379.2370605,12890,13236,125,1959.1280517100001
31_3-2,11426,358.60888672,2093.2329102,11413,10750,676,1734.6240234799998
31_3-3,14668,481.5539856,2577.6340332,13791,11624,3044,2096.0800476
